STATE,EVENT_TYPE_CLEANED,YEAR,EVENT_TYPE_CLEANED,INJURIES_DIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY
ALABAMA,Extreme Temperature,2015,32,0,0,0,6055000.0
ALABAMA,Extreme Temperature,2016,23,1,0,0,77500.0
ALABAMA,Extreme Temperature,2017,12,0,0,0,57500.0
ALABAMA,Extreme Temperature,2018,92,0,0,0,9325000.0
ALABAMA,Extreme Temperature,2019,124,0,0,0,4572500.0
ALABAMA,Extreme Temperature,2020,16,0,0,0,302500.0
ALABAMA,Extreme Temperature,2021,73,0,0,0,26985030.0
ALABAMA,Extreme Temperature,2022,60,0,0,0,310500.0
ALABAMA,Flood,1996,34,2,1,0,280280.0
ALABAMA,Flood,1997,28,0,0,0,330500.0
ALABAMA,Flood,1998,106,1,4,0,3470000.0
ALABAMA,Flood,1999,60,1,1,0,5860280.0
ALABAMA,Flood,2000,28,0,0,0,357500.0
ALABAMA,Flood,2001,64,1,0,0,3587500.0
ALABAMA,Flood,2002,38,0,0,0,7852530.0
ALABAMA,Flood,2003,198,1,1,0,11208030.0
ALABAMA,Flood,2004,188,0,1,0,10700810.0
ALABAMA,Flood,2005,173,1,1,0,7448530.0
ALABAMA,Flood,2006,54,0,0,0,8810250.0
ALABAMA,Flood,2007,33,0,0,0,425250.0
ALABAMA,Flood,2008,75,0,1,0,3190090.0
ALABAMA,Flood,2009,292,1,2,0,32751250.0
ALABAMA,Flood,2010,110,1,0,0,7840030.0
ALABAMA,Flood,2011,160,0,0,0,31688000.0
ALABAMA,Flood,2012,93,0,0,0,3777500.0
ALABAMA,Flood,2013,176,0,0,0,55367590.0
ALABAMA,Flood,2014,91,1,2,0,26957500.0
ALABAMA,Flood,2015,125,0,3,0,82963090.0
ALABAMA,Flood,2016,71,0,0,0,803280.0
ALABAMA,Flood,2017,160,0,0,0,9207840.0
ALABAMA,Flood,2018,84,1,0,0,10457840.0
ALABAMA,Flood,2019,130,2,2,0,3667680.0
ALABAMA,Flood,2020,157,1,1,0,4200780.0
ALABAMA,Flood,2021,179,0,7,0,29892810.0
ALABAMA,Flood,2022,91,1,2,0,1913030.0
ALABAMA,Hurricane,1996,6,0,0,0,50000.0
ALABAMA,Hurricane,1997,7,0,1,0,27500.0
ALABAMA,Hurricane,1998,17,0,1,0,1280250.0
ALABAMA,Hurricane,1999,12,0,0,0,5000.0
ALABAMA,Hurricane,2000,11,0,0,0,52500.0
ALABAMA,Hurricane,2001,6,0,0,0,2500.0
ALABAMA,Hurricane,2002,4,0,0,0,0.0
ALABAMA,Hurricane,2004,14,0,0,0,502500.0
ALABAMA,Hurricane,2005,24,0,0,0,25030.0
ALABAMA,Hurricane,2018,1,0,0,0,0.0
ALABAMA,Hurricane,2020,6,0,0,1,0.0
ALABAMA,Landslide,2004,1,0,0,0,0.0
ALABAMA,Landslide,2009,1,0,0,0,0.0
ALABAMA,Landslide,2010,1,0,0,0,0.0
ALABAMA,Landslide,2011,3,0,0,0,2530.0
ALABAMA,Marine Storm,1996,2,1,2,0,2500.0
ALABAMA,Marine Storm,1998,6,0,1,0,300030.0
ALABAMA,Marine Storm,1999,2,1,2,0,250.0
ALABAMA,Marine Storm,2000,4,0,0,0,0.0
ALABAMA,Marine Storm,2001,17,0,1,0,55280.0
ALABAMA,Marine Storm,2002,11,1,2,0,250000.0
ALABAMA,Marine Storm,2003,3,0,2,0,250.0
ALABAMA,Marine Storm,2004,11,0,0,0,2550000.0
ALABAMA,Marine Storm,2005,119,7,2,0,3688780.0
ALABAMA,Marine Storm,2007,6,0,5,0,250.0
ALABAMA,Marine Storm,2008,67,0,6,0,857500.0
ALABAMA,Marine Storm,2009,36,0,0,0,3002500.0
ALABAMA,Marine Storm,2010,1,0,1,0,0.0
ALABAMA,Marine Storm,2011,1,0,1,0,25000.0
ALABAMA,Marine Storm,2012,5,1,3,0,25000.0
ALABAMA,Marine Storm,2013,2,0,2,0,0.0
ALABAMA,Marine Storm,2014,3,0,3,0,0.0
ALABAMA,Marine Storm,2015,2,0,1,0,0.0
ALABAMA,Marine Storm,2016,1,0,1,0,0.0
ALABAMA,Marine Storm,2017,56,1,5,0,525000.0
ALABAMA,Marine Storm,2018,43,2,4,0,26260000.0
ALABAMA,Marine Storm,2019,2,0,2,0,0.0
ALABAMA,Marine Storm,2020,69,1,2,0,2955000.0
ALABAMA,Marine Storm,2021,26,1,4,0,250250.0
ALABAMA,Marine Storm,2022,3,2,3,0,250000.0
ALABAMA,Thunderstorm,1955,22,0,0,0,28330500.0
ALABAMA,Thunderstorm,1956,19,0,0,0,1390250.0
ALABAMA,Thunderstorm,1957,19,0,0,0,1633000.0
ALABAMA,Thunderstorm,1958,13,0,0,0,3132500.0
ALABAMA,Thunderstorm,1959,17,0,0,0,5232780.0
ALABAMA,Thunderstorm,1960,18,0,0,0,8078250.0
ALABAMA,Thunderstorm,1961,28,0,0,0,53995000.0
ALABAMA,Thunderstorm,1962,38,0,0,0,3959060.0
ALABAMA,Thunderstorm,1963,34,0,0,0,5068000.0
ALABAMA,Thunderstorm,1964,32,0,0,0,3368000.0
ALABAMA,Thunderstorm,1965,32,0,0,0,9580340.0
ALABAMA,Thunderstorm,1966,14,0,0,0,13125000.0
ALABAMA,Thunderstorm,1967,71,0,0,0,33831500.0
ALABAMA,Thunderstorm,1968,74,0,0,0,11801000.0
ALABAMA,Thunderstorm,1969,46,0,0,0,8598000.0
ALABAMA,Thunderstorm,1970,48,0,0,0,37099120.0
ALABAMA,Thunderstorm,1971,112,0,0,0,22580060.0
ALABAMA,Thunderstorm,1972,45,0,0,0,5945500.0
ALABAMA,Thunderstorm,1973,133,0,0,0,13546060.0
ALABAMA,Thunderstorm,1974,130,0,0,0,113181500.0
ALABAMA,Thunderstorm,1975,98,0,0,0,15318560.0
ALABAMA,Thunderstorm,1976,70,0,0,0,17902780.0
ALABAMA,Thunderstorm,1977,109,0,0,0,12356060.0
ALABAMA,Thunderstorm,1978,97,0,0,0,18378340.0
ALABAMA,Thunderstorm,1979,71,0,0,0,10063900.0
ALABAMA,Thunderstorm,1980,105,0,0,0,7444590.0
ALABAMA,Thunderstorm,1981,99,0,0,0,12349500.0
ALABAMA,Thunderstorm,1982,144,0,0,0,14861340.0
ALABAMA,Thunderstorm,1983,231,2,1,0,20429650.0
ALABAMA,Thunderstorm,1984,240,6,1,0,18480900.0
ALABAMA,Thunderstorm,1985,287,8,2,0,30117900.0
ALABAMA,Thunderstorm,1986,246,12,2,0,13329620.0
ALABAMA,Thunderstorm,1987,148,4,0,0,11177120.0
ALABAMA,Thunderstorm,1988,260,0,0,0,21898680.0
ALABAMA,Thunderstorm,1989,344,5,0,0,28919710.0
ALABAMA,Thunderstorm,1990,418,17,0,0,46096120.0
ALABAMA,Thunderstorm,1991,242,7,0,0,34002420.0
ALABAMA,Thunderstorm,1992,319,5,2,0,11399710.0
ALABAMA,Thunderstorm,1993,109,3,0,0,7018370.0
ALABAMA,Thunderstorm,1994,247,6,1,0,108379620.0
ALABAMA,Thunderstorm,1995,567,5,1,0,67351420.0
ALABAMA,Thunderstorm,1996,559,10,2,0,97466180.0
ALABAMA,Thunderstorm,1997,594,13,1,0,127603680.0
ALABAMA,Thunderstorm,1998,744,11,3,0,58465740.0
ALABAMA,Thunderstorm,1999,525,10,3,0,29297580.0
ALABAMA,Thunderstorm,2000,756,16,3,0,30257800.0
ALABAMA,Thunderstorm,2001,573,23,7,0,276465800.0
ALABAMA,Thunderstorm,2002,579,18,4,0,322267870.0
ALABAMA,Thunderstorm,2003,843,5,0,0,97145680.0
ALABAMA,Thunderstorm,2004,545,10,3,0,18364280.0
ALABAMA,Thunderstorm,2005,895,8,1,0,42166080.0
ALABAMA,Thunderstorm,2006,894,15,1,0,100366710.0
ALABAMA,Thunderstorm,2007,608,7,1,1,150823680.0
ALABAMA,Thunderstorm,2008,990,11,2,0,73299460.0
ALABAMA,Thunderstorm,2009,1261,15,2,0,112914370.0
ALABAMA,Thunderstorm,2010,713,12,3,2,50619580.0
ALABAMA,Thunderstorm,2011,1637,18,3,1,279994640.0
ALABAMA,Thunderstorm,2012,1077,11,3,0,58454110.0
ALABAMA,Thunderstorm,2013,610,4,1,0,100818460.0
ALABAMA,Thunderstorm,2014,516,8,2,0,32006680.0
ALABAMA,Thunderstorm,2015,574,8,5,1,51355530.0
ALABAMA,Thunderstorm,2016,505,9,2,0,64090890.0
ALABAMA,Thunderstorm,2017,860,12,4,0,400335230.0
ALABAMA,Thunderstorm,2018,616,6,1,0,54142020.0
ALABAMA,Thunderstorm,2019,696,5,2,0,25649680.0
ALABAMA,Thunderstorm,2020,1015,6,2,0,133728640.0
ALABAMA,Thunderstorm,2021,748,4,1,0,124717550.0
ALABAMA,Thunderstorm,2022,486,3,3,0,114406370.0
ALABAMA,Tornado,1950,2,1,0,0,27500.0
ALABAMA,Tornado,1951,5,5,0,0,1002500.0
ALABAMA,Tornado,1952,13,8,3,0,6302500.0
ALABAMA,Tornado,1953,22,14,4,0,1230090.0
ALABAMA,Tornado,1954,10,5,0,0,607530.0
ALABAMA,Tornado,1955,8,4,1,0,1002500.0
ALABAMA,Tornado,1956,7,3,1,0,1075000.0
ALABAMA,Tornado,1957,51,15,4,0,7682750.0
ALABAMA,Tornado,1958,23,3,1,0,2430500.0
ALABAMA,Tornado,1959,9,2,0,0,78000.0
ALABAMA,Tornado,1960,11,1,0,0,5530060.0
ALABAMA,Tornado,1961,24,9,0,0,3192780.0
ALABAMA,Tornado,1962,11,1,0,0,5057750.0
ALABAMA,Tornado,1963,22,8,2,0,1910500.0
ALABAMA,Tornado,1964,26,9,2,0,4665000.0
ALABAMA,Tornado,1965,11,4,0,0,10777560.0
ALABAMA,Tornado,1966,11,4,1,0,5175250.0
ALABAMA,Tornado,1967,26,11,3,0,1962530.0
ALABAMA,Tornado,1968,14,5,1,0,1352750.0
ALABAMA,Tornado,1969,15,3,1,0,5930000.0
ALABAMA,Tornado,1970,14,2,1,0,25582530.0
ALABAMA,Tornado,1971,23,4,2,0,6437530.0
ALABAMA,Tornado,1972,16,4,1,0,887750.0
ALABAMA,Tornado,1973,53,24,5,0,9893090.0
ALABAMA,Tornado,1974,55,23,12,0,7250780.0
ALABAMA,Tornado,1975,35,9,2,0,2812780.0
ALABAMA,Tornado,1976,30,11,0,0,4247560.0
ALABAMA,Tornado,1977,22,8,2,0,3910280.0
ALABAMA,Tornado,1978,22,5,0,0,932840.0
ALABAMA,Tornado,1979,26,8,0,0,4550500.0
ALABAMA,Tornado,1980,29,5,0,0,2165500.0
ALABAMA,Tornado,1981,14,3,1,0,657750.0
ALABAMA,Tornado,1982,28,5,0,0,3615750.0
ALABAMA,Tornado,1983,49,11,2,0,6070530.0
ALABAMA,Tornado,1984,46,6,1,0,9787590.0
ALABAMA,Tornado,1985,48,9,1,0,1335780.0
ALABAMA,Tornado,1986,20,6,1,0,310250.0
ALABAMA,Tornado,1987,7,0,1,0,552750.0
ALABAMA,Tornado,1988,20,3,0,0,85000.0
ALABAMA,Tornado,1989,25,4,1,0,4037500.0
ALABAMA,Tornado,1990,19,7,0,0,305500.0
ALABAMA,Tornado,1991,10,3,1,0,280.0
ALABAMA,Tornado,1992,28,15,1,0,3360000.0
ALABAMA,Tornado,1993,8,2,0,0,300000.0
ALABAMA,Tornado,1994,19,8,1,0,3355250.0
ALABAMA,Tornado,1995,35,8,2,0,3360500.0
ALABAMA,Tornado,1996,37,9,3,0,575500.0
ALABAMA,Tornado,1997,30,10,1,0,252530.0
ALABAMA,Tornado,1998,57,5,2,0,1455340.0
ALABAMA,Tornado,1999,23,1,0,0,53000.0
ALABAMA,Tornado,2000,52,8,3,0,332810.0
ALABAMA,Tornado,2001,63,15,3,0,3632750.0
ALABAMA,Tornado,2002,44,12,5,0,630030.0
ALABAMA,Tornado,2003,45,3,0,0,277500.0
ALABAMA,Tornado,2004,65,7,1,0,3137500.0
ALABAMA,Tornado,2005,86,4,0,0,29035530.0
ALABAMA,Tornado,2006,74,5,1,0,433310.0
ALABAMA,Tornado,2007,50,7,2,0,50555000.0
ALABAMA,Tornado,2008,112,7,3,0,16732750.0
ALABAMA,Tornado,2009,91,6,1,0,26955280.0
ALABAMA,Tornado,2010,46,5,0,1,33327500.0
ALABAMA,Tornado,2011,217,35,28,2,5637750.0
ALABAMA,Tornado,2012,67,5,3,0,282500.0
ALABAMA,Tornado,2013,28,4,0,0,2552750.0
ALABAMA,Tornado,2014,67,10,1,0,2885030.0
ALABAMA,Tornado,2015,35,2,0,0,1032750.0
ALABAMA,Tornado,2016,76,6,2,0,3558030.0
ALABAMA,Tornado,2017,68,4,0,0,810780.0
ALABAMA,Tornado,2018,56,3,0,0,320280.0
ALABAMA,Tornado,2019,94,6,2,0,9583030.0
ALABAMA,Tornado,2020,82,4,3,0,730250.0
ALABAMA,Tornado,2021,92,14,2,0,1892750.0
ALABAMA,Tornado,2022,92,4,1,0,13392530.0
ALABAMA,Wildfire,2000,1,0,0,0,0.0
ALABAMA,Wildfire,2010,2,0,0,0,0.0
ALABAMA,Wildfire,2011,2,0,0,0,250000.0
ALABAMA,Wildfire,2012,1,0,0,0,30.0
ALABAMA,Wildfire,2014,3,0,0,0,252500.0
ALABAMA,Wildfire,2015,1,0,0,0,0.0
ALABAMA,Winter Storm,1996,213,0,3,0,11308620.0
ALABAMA,Winter Storm,1997,59,0,0,0,28335000.0
ALABAMA,Winter Storm,1998,42,0,1,0,607500.0
ALABAMA,Winter Storm,1999,43,0,1,0,825250.0
ALABAMA,Winter Storm,2000,60,0,0,0,208000.0
ALABAMA,Winter Storm,2001,18,0,0,0,8027500.0
ALABAMA,Winter Storm,2002,44,0,0,0,660090.0
ALABAMA,Winter Storm,2003,6,0,0,0,250000.0
ALABAMA,Winter Storm,2004,14,0,0,0,60.0
ALABAMA,Winter Storm,2005,23,0,0,0,857750.0
ALABAMA,Winter Storm,2006,4,0,0,0,2500000.0
ALABAMA,Winter Storm,2007,4,0,0,0,25000.0
ALABAMA,Winter Storm,2008,49,0,0,0,302500.0
ALABAMA,Winter Storm,2009,44,0,0,0,127500.0
ALABAMA,Winter Storm,2010,226,1,1,6,18713400.0
ALABAMA,Winter Storm,2011,114,0,0,2,4212840.0
ALABAMA,Winter Storm,2012,8,0,0,0,275000.0
ALABAMA,Winter Storm,2013,56,0,0,0,407500.0
ALABAMA,Winter Storm,2014,182,0,1,6,29345090.0
ALABAMA,Winter Storm,2015,122,0,0,0,256555750.0
ALABAMA,Winter Storm,2016,15,0,0,0,75280.0
ALABAMA,Winter Storm,2017,52,0,0,0,407780.0
ALABAMA,Winter Storm,2018,91,0,0,0,7070680.0
ALABAMA,Winter Storm,2019,28,0,0,0,527500.0
ALABAMA,Winter Storm,2020,8,0,0,0,0.0
ALABAMA,Winter Storm,2021,63,0,0,0,3012590.0
ALABAMA,Winter Storm,2022,42,0,0,0,25405280.0
ALASKA,Draught,1996,2,0,0,0,0.0
ALASKA,Draught,1997,1,0,0,0,0.0
ALASKA,Extreme Temperature,1996,31,0,0,0,2852500.0
ALASKA,Extreme Temperature,2000,23,0,3,0,627500.0
ALASKA,Extreme Temperature,2001,9,0,0,0,25000.0
ALASKA,Extreme Temperature,2003,9,0,0,0,0.0
ALASKA,Extreme Temperature,2004,9,0,0,0,27500.0
ALASKA,Extreme Temperature,2005,4,0,0,0,2750000.0
ALASKA,Extreme Temperature,2006,1,0,0,0,25000.0
ALASKA,Extreme Temperature,2007,15,0,0,0,25250.0
ALASKA,Extreme Temperature,2008,30,0,0,0,550250.0
ALASKA,Extreme Temperature,2009,30,0,0,0,352530.0
ALASKA,Extreme Temperature,2010,8,0,0,0,275000.0
ALASKA,Extreme Temperature,2011,11,0,0,0,5000.0
ALASKA,Extreme Temperature,2012,41,0,0,0,308000.0
ALASKA,Extreme Temperature,2013,7,0,0,0,2500.0
ALASKA,Extreme Temperature,2014,1,0,0,0,30.0
ALASKA,Extreme Temperature,2018,5,0,0,0,0.0
ALASKA,Extreme Temperature,2020,1,0,0,0,25000.0
ALASKA,Extreme Temperature,2021,3,0,0,0,252500.0
ALASKA,Extreme Temperature,2022,4,0,0,0,277500.0
ALASKA,Flood,1996,3,0,0,0,0.0
ALASKA,Flood,1997,11,0,0,0,250000.0
ALASKA,Flood,1998,12,0,0,0,25250000.0
ALASKA,Flood,1999,13,0,0,0,27530.0
ALASKA,Flood,2000,18,0,0,0,327500.0
ALASKA,Flood,2001,12,0,0,0,0.0
ALASKA,Flood,2002,34,0,1,0,75025030.0
ALASKA,Flood,2003,24,0,0,0,3052500.0
ALASKA,Flood,2004,15,0,0,0,2525000.0
ALASKA,Flood,2005,16,0,0,0,50500.0
ALASKA,Flood,2006,23,0,0,0,352500.0
ALASKA,Flood,2007,10,0,0,0,52560.0
ALASKA,Flood,2008,25,0,1,0,27590.0
ALASKA,Flood,2009,46,0,0,0,3110500.0
ALASKA,Flood,2010,10,0,0,1,2500.0
ALASKA,Flood,2011,18,0,1,0,0.0
ALASKA,Flood,2012,30,0,1,0,580250.0
ALASKA,Flood,2013,35,0,0,0,607500.0
ALASKA,Flood,2014,31,0,0,0,807500.0
ALASKA,Flood,2015,11,0,1,0,30000.0
ALASKA,Flood,2016,15,0,0,0,7750000.0
ALASKA,Flood,2017,12,0,0,0,250.0
ALASKA,Flood,2018,11,0,0,0,502500.0
ALASKA,Flood,2019,15,0,0,0,52500.0
ALASKA,Flood,2020,17,0,0,0,527500.0
ALASKA,Flood,2021,8,0,0,0,277530.0
ALASKA,Flood,2022,8,0,0,0,250000.0
ALASKA,Hurricane,1997,1,0,0,0,0.0
ALASKA,Hurricane,2000,2,0,0,0,50000.0
ALASKA,Landslide,2005,2,0,0,0,0.0
ALASKA,Landslide,2006,1,0,0,0,0.0
ALASKA,Landslide,2007,1,0,0,0,0.0
ALASKA,Landslide,2015,1,0,1,0,0.0
ALASKA,Landslide,2019,1,0,0,0,0.0
ALASKA,Landslide,2020,6,0,1,0,0.0
ALASKA,Marine Storm,1996,3,0,0,0,0.0
ALASKA,Marine Storm,1997,1,0,0,0,30.0
ALASKA,Marine Storm,1998,3,0,0,0,250.0
ALASKA,Marine Storm,1999,3,1,0,0,275000.0
ALASKA,Marine Storm,2000,2,0,0,0,250000.0
ALASKA,Marine Storm,2002,6,0,0,0,252500.0
ALASKA,Marine Storm,2003,17,0,0,0,362750.0
ALASKA,Marine Storm,2004,6,0,0,0,52500.0
ALASKA,Marine Storm,2005,6,0,0,0,25005000.0
ALASKA,Marine Storm,2006,1,0,0,0,25000.0
ALASKA,Marine Storm,2007,1,0,0,0,25000.0
ALASKA,Marine Storm,2008,1,0,0,0,25000.0
ALASKA,Marine Storm,2010,2,0,0,0,0.0
ALASKA,Marine Storm,2011,3,0,0,0,275000.0
ALASKA,Marine Storm,2012,4,0,0,0,50000.0
ALASKA,Marine Storm,2014,6,0,0,0,25000.0
ALASKA,Marine Storm,2015,1,0,0,0,0.0
ALASKA,Marine Storm,2016,3,0,0,0,0.0
ALASKA,Marine Storm,2017,7,0,0,0,750000.0
ALASKA,Marine Storm,2018,1,0,0,0,0.0
ALASKA,Marine Storm,2019,1,0,0,0,0.0
ALASKA,Marine Storm,2022,1,0,0,0,0.0
ALASKA,Thunderstorm,1993,1,0,0,0,0.0
ALASKA,Thunderstorm,1996,223,1,0,0,29423270.0
ALASKA,Thunderstorm,1997,243,0,0,0,10971500.0
ALASKA,Thunderstorm,1998,313,0,0,0,77594090.0
ALASKA,Thunderstorm,1999,345,1,0,0,70741680.0
ALASKA,Thunderstorm,2000,309,2,0,0,18011210.0
ALASKA,Thunderstorm,2001,251,1,0,0,57581060.0
ALASKA,Thunderstorm,2002,229,1,0,0,6616870.0
ALASKA,Thunderstorm,2003,132,1,0,0,12023090.0
ALASKA,Thunderstorm,2004,162,0,0,0,34254030.0
ALASKA,Thunderstorm,2005,148,0,0,0,8425280.0
ALASKA,Thunderstorm,2006,134,0,0,0,33020560.0
ALASKA,Thunderstorm,2007,102,0,0,0,6285530.0
ALASKA,Thunderstorm,2008,71,0,0,0,5382500.0
ALASKA,Thunderstorm,2009,90,1,0,0,5738000.0
ALASKA,Thunderstorm,2010,82,0,0,0,8285280.0
ALASKA,Thunderstorm,2011,123,0,0,0,1337530.0
ALASKA,Thunderstorm,2012,87,0,0,0,1738250.0
ALASKA,Thunderstorm,2013,56,0,0,0,35555250.0
ALASKA,Thunderstorm,2014,57,0,0,0,5860030.0
ALASKA,Thunderstorm,2015,71,0,1,0,29430000.0
ALASKA,Thunderstorm,2016,59,0,0,0,3608000.0
ALASKA,Thunderstorm,2017,85,0,0,0,11627780.0
ALASKA,Thunderstorm,2018,57,0,0,0,5905060.0
ALASKA,Thunderstorm,2019,51,0,0,0,3160560.0
ALASKA,Thunderstorm,2020,66,0,0,0,3128280.0
ALASKA,Thunderstorm,2021,57,1,0,0,253807530.0
ALASKA,Thunderstorm,2022,25,1,0,0,30852530.0
ALASKA,Tornado,2004,2,0,0,0,2500.0
ALASKA,Tornado,2005,1,0,0,0,0.0
ALASKA,Wildfire,1996,2,0,0,0,0.0
ALASKA,Wildfire,1999,3,0,0,0,0.0
ALASKA,Wildfire,2000,1,1,0,0,250000.0
ALASKA,Wildfire,2001,3,0,0,0,0.0
ALASKA,Wildfire,2002,3,0,0,0,25000.0
ALASKA,Wildfire,2003,6,0,0,0,2500000.0
ALASKA,Wildfire,2004,9,0,0,0,500000.0
ALASKA,Wildfire,2005,11,0,0,0,300000.0
ALASKA,Wildfire,2006,1,0,0,0,0.0
ALASKA,Wildfire,2009,3,0,0,0,275000.0
ALASKA,Wildfire,2010,1,0,0,0,0.0
ALASKA,Wildfire,2015,4,2,0,0,250000.0
ALASKA,Wildfire,2016,1,1,0,0,0.0
ALASKA,Wildfire,2022,11,0,0,0,2500.0
ALASKA,Winter Storm,1996,15,2,1,0,52500.0
ALASKA,Winter Storm,1997,21,0,0,0,2750.0
ALASKA,Winter Storm,1998,78,0,0,0,56717500.0
ALASKA,Winter Storm,1999,204,1,2,0,36206560.0
ALASKA,Winter Storm,2000,127,0,3,0,6675530.0
ALASKA,Winter Storm,2001,158,5,2,0,8164000.0
ALASKA,Winter Storm,2002,186,0,0,0,3688590.0
ALASKA,Winter Storm,2003,143,0,0,0,6290560.0
ALASKA,Winter Storm,2004,175,1,1,0,88215680.0
ALASKA,Winter Storm,2005,115,3,0,0,4383280.0
ALASKA,Winter Storm,2006,164,1,1,0,63365560.0
ALASKA,Winter Storm,2007,127,0,0,0,53553340.0
ALASKA,Winter Storm,2008,204,0,0,1,5521060.0
ALASKA,Winter Storm,2009,295,0,1,0,11248620.0
ALASKA,Winter Storm,2010,152,0,0,0,261840250.0
ALASKA,Winter Storm,2011,276,0,1,0,30808560.0
ALASKA,Winter Storm,2012,195,0,0,1,3633060.0
ALASKA,Winter Storm,2013,170,0,0,0,13565780.0
ALASKA,Winter Storm,2014,74,0,0,1,6415310.0
ALASKA,Winter Storm,2015,129,0,1,1,83275530.0
ALASKA,Winter Storm,2016,66,0,0,1,33955000.0
ALASKA,Winter Storm,2017,124,0,0,0,7300000.0
ALASKA,Winter Storm,2018,46,0,0,0,655250.0
ALASKA,Winter Storm,2019,75,0,0,0,3887780.0
ALASKA,Winter Storm,2020,158,0,0,0,3710310.0
ALASKA,Winter Storm,2021,219,0,0,0,9805810.0
ALASKA,Winter Storm,2022,114,0,0,0,31480930.0
AMERICAN SAMOA,Draught,1998,16,0,0,0,3275000.0
AMERICAN SAMOA,Extreme Temperature,2016,1,0,0,0,0.0
AMERICAN SAMOA,Extreme Temperature,2022,3,0,0,0,25000.0
AMERICAN SAMOA,Flood,1998,1,0,0,0,0.0
AMERICAN SAMOA,Flood,1999,9,0,0,0,2500.0
AMERICAN SAMOA,Flood,2000,9,0,0,0,0.0
AMERICAN SAMOA,Flood,2001,10,0,0,0,2557500.0
AMERICAN SAMOA,Flood,2002,6,0,0,0,2500.0
AMERICAN SAMOA,Flood,2003,3,1,1,0,0.0
AMERICAN SAMOA,Flood,2004,2,0,0,0,0.0
AMERICAN SAMOA,Flood,2005,14,0,0,0,2500000.0
AMERICAN SAMOA,Flood,2006,3,0,0,0,0.0
AMERICAN SAMOA,Flood,2007,7,0,0,0,52500.0
AMERICAN SAMOA,Flood,2008,1,0,0,0,0.0
AMERICAN SAMOA,Flood,2009,2,0,0,0,0.0
AMERICAN SAMOA,Flood,2010,2,0,0,0,0.0
AMERICAN SAMOA,Flood,2011,2,0,0,0,2500.0
AMERICAN SAMOA,Flood,2014,1,0,0,0,250000.0
AMERICAN SAMOA,Flood,2015,1,0,0,0,250000.0
AMERICAN SAMOA,Flood,2016,2,0,0,0,0.0
AMERICAN SAMOA,Flood,2017,3,0,0,0,0.0
AMERICAN SAMOA,Flood,2018,9,0,0,0,500000.0
AMERICAN SAMOA,Flood,2019,10,0,0,0,25000.0
AMERICAN SAMOA,Flood,2020,8,0,0,0,250.0
AMERICAN SAMOA,Flood,2021,3,0,0,0,0.0
AMERICAN SAMOA,Flood,2022,2,0,0,0,0.0
AMERICAN SAMOA,Hurricane,1998,4,0,0,0,0.0
AMERICAN SAMOA,Hurricane,2004,4,1,0,0,252500.0
AMERICAN SAMOA,Hurricane,2005,2,0,0,0,0.0
AMERICAN SAMOA,Hurricane,2006,3,0,0,0,25000.0
AMERICAN SAMOA,Hurricane,2009,1,1,1,0,250000.0
AMERICAN SAMOA,Hurricane,2010,6,0,0,0,280000.0
